Exp,Res,Time(s),RMSE_Train,RMSERare_Train,Utility_Train,Benefit_Train,Cost_Train,CaseWeight_Train,Precision_Train,Recall_Train,FScore_Train,RMSE_Test,RMSERare_Test,Utility_Test,Benefit_Test,Cost_Test,CaseWeight_Test,Precision_Test,Recall_Test,FScore_Test
1,no_resample,45.79784297943115,[0.02095288 0.02590978 0.0329451  0.03827415 0.0433849 ],[0.02340172 0.02809895 0.03795638 0.04240887 0.04952677],[0.19104393 0.18949198 0.18636449 0.18472649 0.18272518],[0.19474035 0.19392965 0.1922619  0.19137445 0.19027196],[0.00369642 0.00443767 0.00589741 0.00664796 0.00754679],[0.00041936 0.00062995 0.00114021 0.0014828  0.00199834],[0.97988611 1.        ],[1.         0.72383354],[0.92910327 0.90924716 0.84787018 0.81158779 0.76997579],[0.02119594 0.02624913 0.0333756  0.03884365 0.04410251],[0.02345908 0.02813179 0.03800121 0.04244777 0.04957073],[0.18315298 0.18156655 0.17839239 0.17668452 0.17459497],[0.18680868 0.18593585 0.18419779 0.18322873 0.18203402],[0.00365571 0.0043693  0.0058054  0.00654421 0.00743906],[0.00044641 0.00066842 0.00121046 0.00157729 0.00213728],[0.97735605 1.        ],[1.         0.72440945],[0.92929293 0.90613718 0.84810127 0.83113456 0.78536585]
2,no_resample,41.093096017837524,[0.02063527 0.02625945 0.03290514 0.03822236 0.0433751 ],[0.02657405 0.03465062 0.04564152 0.05612469 0.06509454],[0.18957271 0.18723384 0.18425581 0.18184822 0.17975017],[0.19396108 0.19271691 0.19110175 0.18977643 0.18859942],[0.00438837 0.00548307 0.00684594 0.00792821 0.00884925],[0.00061528 0.00101201 0.0016502  0.0023056  0.00297862],[0.97612077 1.        ],[1.         0.67087011],[0.91064704 0.87692887 0.80207863 0.7403599  0.67133684],[0.02069968 0.02635238 0.03307968 0.03853172 0.04381262],[0.02657848 0.03464396 0.04564706 0.05615821 0.06515134],[0.18180328 0.17945534 0.176425   0.17390484 0.17170745],[0.18609179 0.18479876 0.18311046 0.18167904 0.18040352],[0.00428851 0.00534342 0.00668546 0.0077742  0.00869607],[0.00064396 0.00105897 0.00173715 0.00245092 0.0031846 ],[0.97274093 1.        ],[1.         0.66666667],[0.90909091 0.87351779 0.81900452 0.75442248 0.68639053]
3,no_resample,44.01329469680786,[0.01697078 0.02290243 0.027978   0.03290649 0.03781775],[0.01857563 0.02547312 0.03280634 0.04041449 0.04688996],[0.19164086 0.18932986 0.18724756 0.18527889 0.18362615],[0.19505792 0.19384854 0.19274298 0.19168496 0.19077682],[0.00341707 0.00451869 0.00549542 0.00640607 0.00715067],[0.00034291 0.00062598 0.00097285 0.00136608 0.00177828],[0.9817797 1.       ],[1.         0.75031526],[0.93759849 0.91111111 0.87466869 0.8207016  0.78614881],[0.01697493 0.02293527 0.02808241 0.03313161 0.0381935 ],[0.01851967 0.02540241 0.03274019 0.04037533 0.04687377],[0.18391933 0.18160798 0.17947962 0.17740748 0.17564081],[0.18721466 0.18596213 0.18478876 0.18363192 0.18261863],[0.00329533 0.00435415 0.00530914 0.00622443 0.00697782],[0.00034868 0.00063762 0.00100012 0.00142252 0.00187326],[0.97968007 1.        ],[1.         0.75328084],[0.93852191 0.91006424 0.87351779 0.83837511 0.80449018]
4,no_resample,40.35427713394165,[0.01626399 0.02084072 0.02615131 0.03010916 0.03497992],[0.01528606 0.02047394 0.02796136 0.03344079 0.0395112 ],[0.19231339 0.19060125 0.18844582 0.18708458 0.18537203],[0.19540743 0.19452153 0.19338673 0.19266326 0.19173418],[0.00309404 0.00392028 0.00494091 0.00557868 0.00636214],[0.00027656 0.00046174 0.00076937 0.00101504 0.0013723 ],[0.98495199 1.        ],[1.         0.79445145],[0.95079988 0.92743248 0.89711641 0.87180465 0.83783784],[0.01627984 0.02087174 0.02623866 0.03031434 0.03531365],[0.01524116 0.02040324 0.02787268 0.03334749 0.03942913],[0.18460439 0.18288218 0.18069434 0.17922552 0.17741664],[0.18757061 0.18663678 0.18544179 0.18461803 0.18359422],[0.00296622 0.0037546  0.00474745 0.00539251 0.00617758],[0.00027773 0.00046456 0.00078188 0.00104668 0.00143117],[0.982228 1.      ],[1.        0.7847769],[0.94800254 0.93101139 0.89591078 0.86869496 0.84674005]
5,no_resample,41.76775932312012,[0.01369145 0.01701727 0.02186672 0.02437575 0.02885295],[0.01151205 0.01503126 0.0216267  0.0250024  0.03125775],[0.19362031 0.19250312 0.19048731 0.18978472 0.18800236],[0.19608802 0.19552265 0.19447693 0.19411468 0.19316908],[0.00246771 0.00301953 0.00398962 0.00432996 0.00516671],[0.00017345 0.00026853 0.00049073 0.00060356 0.00088548],[0.98832577 0.99701046],[0.99981254 0.84110971],[0.96137215 0.95330739 0.9228243  0.91568297 0.88941433],[0.01375113 0.01712707 0.02198703 0.02463275 0.02918869],[0.01147743 0.01496899 0.02153702 0.02490374 0.03116324],[0.18585446 0.1846793  0.18265911 0.18180931 0.17995325],[0.18822162 0.18758347 0.18649194 0.18600911 0.18498126],[0.00236715 0.00290416 0.00383283 0.0041998  0.00502801],[0.00017461 0.00027257 0.00049919 0.00062788 0.00092833],[0.98607485 1.        ],[1.       0.832021],[0.9611886  0.95103578 0.92579986 0.91295117 0.88947767]
6,no_resample,39.77230525016785,[0.00880972 0.01203061 0.01619227 0.01878286 0.02247135],[0.0056047  0.01027761 0.0186509  0.02245562 0.0283361 ],[0.1959473  0.1945072  0.19212885 0.19120609 0.18960891],[0.19728507 0.19656603 0.19535117 0.19488133 0.19404801],[0.00133778 0.00205883 0.00322232 0.00367524 0.0044391 ],"[5.31892930e-05 1.23447631e-04 3.11572764e-04 4.19379343e-04
 6.33203277e-04]",[0.99403597 0.99726402],[0.99981254 0.91929382],[0.98062954 0.97132415 0.94030312 0.92616792 0.90158172],[0.00894686 0.01217857 0.01630916 0.01899476 0.02272857],[0.00559827 0.01025214 0.01860182 0.02240241 0.02827668],[0.18802762 0.18654781 0.18415767 0.18311487 0.18145307],[0.18934034 0.18855761 0.18729247 0.18671694 0.18580633],[0.00131272 0.0020098  0.0031348  0.00360207 0.00435325],"[5.58927587e-05 1.28704264e-04 3.23787934e-04 4.42597536e-04
 6.70793514e-04]",[0.99473222 1.        ],[1.         0.93700787],[0.986733   0.97001764 0.94174757 0.93015447 0.90211833]
7,no_resample,39.60768795013428,[0.00391172 0.00601081 0.00888244 0.0113523  0.0134716 ],[0.00137388 0.00440133 0.01205212 0.01658555 0.01978928],[0.1979165  0.19699555 0.19485676 0.1938791  0.19327225],[0.19828448 0.19783896 0.19676772 0.19627917 0.19597539],[0.00036797 0.0008434  0.00191096 0.00240007 0.00270313],"[7.09715327e-06 2.64720323e-05 1.19484990e-04 1.97503073e-04
 2.70597446e-04]",[0.9992503  0.99241466],[0.99943762 0.98991173],[0.99191307 0.99057838 0.96847487 0.95716396 0.94598718],[0.00400076 0.00616031 0.00901892 0.01158251 0.0137514 ],[0.00133409 0.0043961  0.01204919 0.01660407 0.01982228],[0.18990786 0.18887348 0.18673956 0.18562491 0.18493362],[0.19029549 0.18974874 0.188635   0.18803208 0.18764091],[0.00038763 0.00087526 0.00189544 0.00240717 0.00270729],"[8.00071736e-06 3.00492929e-05 1.29515292e-04 2.17819704e-04
 2.99789558e-04]",[0.9995584  0.98697917],[0.99889673 0.99475066],[0.98852374 0.99298435 0.97067449 0.95252967 0.9401159 ]
8,no_resample,41.86536693572998,[0.00440224 0.00575847 0.00653627 0.00868449 0.00972595],[0.00105004 0.00381444 0.0066892  0.01078491 0.01255677],[0.19786422 0.19709824 0.19639752 0.19532066 0.19507762],[0.19825818 0.19789185 0.19755586 0.19702389 0.19691299],[0.00039396 0.00079361 0.00115834 0.00170323 0.00183537],"[6.61535662e-06 2.05290672e-05 4.31827159e-05 9.21072107e-05
 1.19172825e-04]",[0.99906341 0.99745223],[0.99981254 0.98738966],[0.99542334 0.99030652 0.98100407 0.97132415 0.96582886],[0.00450127 0.00589769 0.00664048 0.00884397 0.00992687],[0.00104877 0.00380891 0.00664832 0.01073586 0.01249629],[0.1898725  0.18898409 0.18827968 0.18708029 0.18673085],[0.19027768 0.18980576 0.18942346 0.18878511 0.18857631],[0.00040518 0.00082167 0.00114378 0.00170482 0.00184546],"[7.27215782e-06 2.30321379e-05 4.63251300e-05 1.00404821e-04
 1.31992273e-04]",[0.99933833 0.99736148],[0.99977935 0.99212598],[0.99630996 0.99186992 0.98614958 0.97132826 0.96774194]
9,no_resample,39.83839297294617,[0.00394063 0.00635902 0.00647287 0.00905548 0.00942391],[0.00286571 0.00420254 0.00563644 0.01082113 0.0116522 ],[0.19780453 0.1968999  0.1967287  0.19529178 0.19544374],[0.19823004 0.19779065 0.19772336 0.19700775 0.19709908],[0.00042551 0.00089075 0.00099467 0.00171597 0.00165535],"[6.61598027e-06 2.64005873e-05 3.57840532e-05 9.70883824e-05
 1.07131828e-04]",[0.99990614 0.98019802],[0.99850033 0.99873897],[0.98385093 0.98713573 0.98075402 0.97117268 0.96886294],[0.00404393 0.00650789 0.00660587 0.00924408 0.00968001],[0.00289274 0.00416134 0.00557925 0.0107836  0.01161622],[0.189808   0.18882074 0.1886009  0.18705289 0.18705001],[0.19024701 0.1897219  0.18958563 0.18876938 0.1887385 ],[0.00043901 0.00090116 0.00098472 0.00171649 0.0016885 ],"[7.35671520e-06 2.90214836e-05 3.88543033e-05 1.06163205e-04
 1.20945295e-04]",[1.         0.97193878],[0.99757282 1.        ],[0.97742432 0.99242834 0.98915989 0.97197898 0.97294185]
10,no_resample,39.42590117454529,[0.0035478  0.00572017 0.00698747 0.0091886  0.00996287],[0.00287181 0.00238644 0.00460877 0.0089388  0.01078787],[0.19779723 0.19735935 0.19671007 0.19557273 0.19530859],[0.198227   0.19802363 0.19771427 0.19715173 0.19703064],[0.00042977 0.00066428 0.00100421 0.001579   0.00172205],"[6.22912651e-06 1.59878338e-05 3.37971005e-05 8.07319604e-05
 1.06433685e-04]",[1.         0.97181373],[0.99784422 1.        ],[0.97732315 0.98991988 0.97961345 0.97072632 0.96684313],[0.00363671 0.00585631 0.0071068  0.0093678  0.01020321],[0.00290992 0.00232936 0.00453105 0.00887839 0.01072846],[0.18981316 0.18929361 0.18861505 0.18735877 0.18696912],[0.19025005 0.18996133 0.1895921  0.18892507 0.18869679],[0.00043689 0.00066772 0.00097705 0.0015663  0.00172767],"[6.85031432e-06 1.74693975e-05 3.56517546e-05 8.72972120e-05
 1.17957472e-04]",[1.         0.96455696],[0.99691086 1.        ],[0.97144314 0.99463807 0.98859316 0.97518754 0.97230237]
1,SMOTER_bin,71.47835493087769,[0.02270581 0.02653624 0.03337855 0.03665889 0.04075673],[0.02295095 0.02543853 0.02815292 0.028965   0.02964231],[0.48047264 0.47617928 0.4662395  0.45529958 0.44096897],[0.49186276 0.48928741 0.48207939 0.47205174 0.4585342 ],[0.01139013 0.01310813 0.0158399  0.01675216 0.01756523],[0.00059857 0.00081428 0.00118596 0.00140314 0.00163212],[1.         0.96152802],[0.96016496 1.        ],[0.96898376 0.93371458 0.86238718 0.8035986  0.7698783 ],[0.02171028 0.02519119 0.0331058  0.03653756 0.04193957],[0.02293036 0.02480271 0.02824602 0.03002682 0.0318116 ],[0.18063006 0.17926492 0.17622847 0.17517605 0.17362837],[0.18588424 0.18526753 0.18392052 0.18347502 0.18282993],[0.00525419 0.00600261 0.00769205 0.00829896 0.00920156],[0.00088285 0.00121861 0.00184385 0.00218367 0.00260647],[1.         0.70425139],[0.9646955 1.       ],[0.74852652 0.72904707 0.71161748 0.71589628 0.72571429]
2,SMOTER_bin,71.07487511634827,[0.02321635 0.02499228 0.03206496 0.03517298 0.03991701],[0.0233451  0.02553939 0.03163911 0.03251065 0.03486763],[0.47938921 0.47596873 0.46413081 0.45370411 0.43843448],[0.49127663 0.48907185 0.48091821 0.47113845 0.45718462],[0.01188742 0.01310312 0.0167874  0.01743433 0.01875014],[0.00056507 0.00070823 0.00114871 0.00131299 0.00159684],[1.        0.9725325],[0.97188115 1.        ],[0.97790462 0.9439242  0.87466532 0.82268371 0.78322328],[0.02263445 0.02304544 0.02959865 0.03352462 0.03941013],[0.02226308 0.02429849 0.03068583 0.03199171 0.03498243],[0.18128562 0.18053054 0.17766145 0.17633428 0.17443631],[0.18616826 0.18579976 0.18447636 0.18388482 0.18305466],[0.00488264 0.00526923 0.00681491 0.00755054 0.00861836],[0.0006292  0.00078007 0.00124632 0.00152353 0.0019368 ],[1.         0.76352705],[0.97396293 1.        ],[0.80143037 0.78298397 0.75926664 0.75565252 0.74269006]
3,SMOTER_bin,72.12834978103638,[0.02017749 0.02046348 0.02805449 0.03022268 0.03497984],[0.016574   0.01484632 0.02133516 0.02182841 0.02418344],[0.48579982 0.4861474  0.47418946 0.46458814 0.44963875],[0.49434194 0.49392879 0.4856556  0.47624001 0.46240424],[0.00854211 0.0077814  0.01146614 0.01165186 0.01276549],[0.00032063 0.00029744 0.00058983 0.00066164 0.00083904],[1.         0.98351852],[0.98331615 1.        ],[0.98677121 0.95754265 0.90166947 0.87023878 0.84817035],[0.02247221 0.02351516 0.03155429 0.03431576 0.04050399],[0.01446587 0.01238914 0.01983073 0.02065827 0.02367126],[0.18286172 0.18287881 0.17980931 0.17900575 0.17722581],[0.18692547 0.18692362 0.18549028 0.18511827 0.18433012],[0.00406375 0.00404481 0.00568097 0.00611251 0.00710431],[0.00044595 0.00047246 0.00084669 0.00099904 0.00132668],[1.         0.82826087],[0.9825684 1.       ],[0.85772175 0.85926928 0.81375481 0.80413677 0.78427336]
4,SMOTER_bin,78.02717304229736,[0.02150985 0.01914917 0.02510073 0.02626718 0.02938501],[0.01990481 0.01539541 0.02195837 0.02088053 0.0239028 ],[0.48302417 0.48645432 0.47468257 0.46671029 0.4514029 ],[0.4930028  0.49406105 0.48585723 0.47721579 0.46317449],[0.00997863 0.00760673 0.01117466 0.0105055  0.01177159],[0.00041291 0.00027568 0.00054848 0.00054237 0.00070167],[1.         0.97853524],[0.97816103 1.        ],[0.98275415 0.95816198 0.90299707 0.88280922 0.85923342],[0.02248294 0.0211964  0.02632832 0.02873959 0.0318395 ],[0.01814654 0.01294186 0.02018118 0.01915553 0.02208763],[0.18250452 0.1839394  0.18127513 0.18084615 0.17953063],[0.18673573 0.1874006  0.18612744 0.18592581 0.1853057 ],[0.00423121 0.00346121 0.00485231 0.00507966 0.00577506],[0.0004523  0.00032975 0.00060179 0.00068832 0.00087513],[1.         0.80210526],[0.97925861 1.        ],[0.83516002 0.86394558 0.82076691 0.82646421 0.81236674]
5,SMOTER_bin,74.94110894203186,[0.01445948 0.01400044 0.01861811 0.01885087 0.02107867],[0.01373105 0.0118643  0.01749517 0.01546574 0.01789715],[0.489723   0.49032368 0.47965122 0.47264796 0.45800792],[0.49621623 0.49591754 0.48821227 0.48003183 0.46628785],[0.00649323 0.00559386 0.00856105 0.00738387 0.00827994],[0.00019543 0.00016604 0.00034663 0.00030441 0.00039476],[1.         0.98634971],[0.98622176 1.        ],[0.98904987 0.963191   0.9147503  0.91178385 0.89788899],[0.01466525 0.01471301 0.01801752 0.01968696 0.02168473],[0.01135253 0.00852907 0.01529321 0.01287437 0.01563143],[0.18550546 0.18588868 0.1837909  0.18386797 0.18298283],[0.18815522 0.1883213  0.18729026 0.18731661 0.18687644],[0.00264976 0.00243262 0.00349936 0.00344864 0.0038936 ],[0.00019089 0.00017326 0.00032872 0.00035043 0.00044259],[1.         0.85044643],[0.98521624 1.        ],[0.8766682  0.90156176 0.85617978 0.85158695 0.84254755]
